0,0,-0.5,1.1,-0.6,0,0,0,0,0,-14.2707,-3.10846,-23.2202,2.58083,0.0592146
0,0,-0.5,1.1,-0.6,0,0,0,0,0,-15.1396,-3.25216,-23.448,2.52104,0.0584441
4.92627e-21,-7.30398e-22,-0.5,1.1,-0.6,4.92627e-18,-7.30398e-19,7.70901e-19,-1.85804e-17,3.81957e-17,-9.3555,3.14857,5.88758,4.05842,0.0624659
5.06963e-06,1.75009e-05,-0.500039,1.10009,-0.600001,0.00506963,0.0175009,-0.0392136,0.0859615,-0.00139155,-9.30355,3.11071,5.53497,3.96182,0.061187
-1.95231e-05,0.000102461,-0.500086,1.10022,-0.600003,-0.0245928,0.0849599,-0.0470899,0.129915,-0.00133677,-9.36292,3.07284,5.79359,3.93066,0.0603551
-7.36215e-05,0.000254473,-0.500142,1.10039,-0.600004,-0.0540983,0.152012,-0.0554823,0.173845,-0.00134356,-9.29768,3.04307,5.57816,3.84916,0.0591219
-0.000157012,0.000471209,-0.500207,1.10061,-0.600005,-0.0833906,0.216736,-0.0649863,0.216524,-0.00133745,-9.19585,3.0587,5.883,3.8209,0.0582583
-0.000280565,0.000744668,-0.500288,1.10087,-0.600006,-0.123553,0.273459,-0.0816104,0.259412,-0.000899897,-9.07992,3.06368,5.96978,3.77417,0.0572646
-0.0004403,0.00107778,-0.500382,1.10117,-0.600007,-0.159735,0.333113,-0.0939345,0.300353,-0.000955016,-8.97931,3.06177,5.99955,3.72386,0.0562482
-0.000628425,0.00147581,-0.500483,1.10151,-0.600009,-0.188125,0.398026,-0.100397,0.339662,-0.00171839,-8.89486,3.05378,5.97786,3.66815,0.0551771
-0.000842144,0.00193707,-0.500591,1.1019,-0.600605,-0.213719,0.461258,-0.108342,0.391927,-0.596476,-8.83505,3.04282,6.02143,3.62968,0.0572721
-0.00108678,0.00245812,-0.50071,1.10234,-0.601614,-0.24464,0.52105,-0.118551,0.439455,-1.00852,-8.74108,3.03988,6.02678,3.58644,0.0587742
-0.00136165,0.00304106,-0.500835,1.10281,-0.602617,-0.274863,0.582949,-0.125593,0.476316,-1.00348,-8.65601,3.03524,6.02478,3.53746,0.0583526
-0.00165549,0.00366273,-0.500972,1.10333,-0.602171,-0.293847,0.621669,-0.137279,0.513608,0.446415,-8.58588,3.03173,6.01459,3.46184,0.0502406
